字	韻
〇	來・青平
㐁	透・添去
㐁	透・覃去
㐆	影依微平
㐆	影依文上
㐭	來伊侵上
㐱	章伊真上
㐲	定・泰去
㐸	谿依嚴去
㑁	知逶真入
㑃	影娃肴去
㑉	心威東入
㑗	書伊真平
㑙	端・添入
㑛	書惟冬入
㑛	心・東入
㑜	以伊祭去
㑜	徹漪祭去
㑞	以伊蒸去
㑟	幫娃庚上
㑥	以伊支去
㑦	來・齊去
㑮	匣區痕平
㑮	疑區痕平
㑰	以伊陽去
㑳	崇漪尤去
㑳	孃娃咸入
㑳	莊逶魚平
㑵	從伊真入
㑻	明娃山入
㑿	崇娃肴上
㒄	日伊先上
㒄	書伊先上
㒅	谿・齊上
㒇	明威魚上
㒈	曉娃銜去
㒊	生漪侵入
㒋	心伊支平
㒌	羣惟清平
㒓	透・寒入
㒔	常惟冬入
㒔	定・東入
㒚	影區痕上
㒚	影依文去
㒝	明・仙入
㒝	明威元入
㒟	泥・蕭上
㒠	匣娃皆去
㒥	滂威東平
㒨	心伊先平
㒰	從惟先平
㒳	來依陽上
㒴	見區痕入
㒸	邪惟脂去
㒹	端・仙平
㒼	明・寒平
㒽	谿逶先平
㒾	以伊支去
㒾	書伊支去
㓃	端・模去
㓃	知娃麻去
㓄	知漪侵去
㓊	定・東去
㓖	幫伊真入
㓘	心威東入
㓚	見・東平
㓝	匣・青平
㓞	谿娃山入
㓠	端・添上
㓢	來・唐入
㓣	谿娃咸入
㓤	谿娃山入
㓱	定・侯平
㓳	端・齊平
㓷	疑漪祭去
㓹	清惟祭去
㓺	見依元平
㓻	見・唐平
㓼	初漪真入
㓼	初漪之上
㓽	崇逶東平
㓽	崇逶東去
㔂	來伊真去
㔄	心威冬入
㔆	從・覃上
㔊	章伊先上
㔋	匣娃銜上
㔋	見娃銜去
㔋	來・談去
㔌	從・侯平
㔌	從・侯去
㔍	初蛙刪入
㔎	疑漪真入
㔎	心伊先入
㔏	來・青入
㔒	匣區齊平
㔓	見依元上
㔗	並威微去
㔙	幫娃庚平
㔝	來依陽上
㔞	谿蛙皆平
㔠	曉娃刪入
㔡	幫・仙入
㔢	精惟先入
㔣	來區咍平
㔣	來區咍去
㔥	並娃佳上
㔩	影・覃入
㔪	來・模上
㔮	泥・歌平
㔯	邪惟先平
㔲	見逶脂上
㔴	以伊蒸入
㔶	見・覃上
㔶	見・東去
㔸	透・齊平
㔹	來・登入
㔻	滂漪脂平
㕆	匣・模上
㕆	端・模上
㕇	來・覃入
㕈	影・咍上
㕈	影區咍去
㕊	滂威魚平
㕋	羣漪侵平
㕎	谿・談入
㕒	疑逶支平
㕗	以伊尤上
㕙	清惟真平
㕙	精惟真去
㕚	莊娃肴上
㕛	云依尤上
㕞	生逶先入
㕟	谿蛙皆去
㕡	曉・唐入
㕢	匣娃夬去
㕢	見・咍去
㕣	以惟先上
㕦	匣蛙麻去
㕧	曉漪脂去
㕬	章惟冬平
㕭	影娃肴平
㕮	並威魚上
㕮	幫威魚上
㕯	日惟先入
㕯	泥區痕入
㕯	孃蛙山入
㕰	曉娃江入
㖃	匣・侯上
㖃	曉・侯去
㖃	曉・侯上
㖅	心惟真入
㖏	泥・仙入
㖑	曉娃皆去
㖒	定・齊平
㖘	章伊真平
㖟	常伊尤去
㖥	羣逶真上
㖩	精威魚平
㖪	曉蛙耕入
㖷	常伊支平
㗁	疑・唐入
㗉	來依陽入
㗊	莊漪侵入
㗔	谿漪先平
㗕	見・侯平
㗗	幫漪支平
㗗	幫漪支上
㗘	幫・唐入
㗙	孃娃咸入
㗚	來伊真入
㗛	心伊宵去
㗢	定・東去
㗢	匣・冬平
㗢	匣・冬去
㗤	精威東入
㗦	來・豪平
㗧	端・仙入
㗧	知漪真入
㗨	曉娃佳平
㗩	心伊侵入
㗫	清・仙入
㗬	徹娃麻平
㗱	精伊侵入
㗲	匣蛙耕入
㗴	疑娃山平
㗵	曉威文入
㗻	匣區歌平
㗻	見區歌平
㗼	疑依嚴入
㗾	曉威歌平
㗿	曉娃麻去
㗿	曉娃麻上
㗿	曉・歌上
㘀	精・唐入
㘀	精區唐入
㘁	以伊清入
㘆	透・咍上
㘈	疑依之去
㘈	疑依蒸入
㘉	莊漪真入
㘋	匣・仙平
㘋	匣伊真平
㘌	羣漪清入
㘍	精伊真入
㘓	來・寒平
㘙	疑漪清入
㘝	孃娃咸入
㘝	孃漪侵入
㘠	幫漪蒸入
㘣	曉區仙平
㘣	邪惟先平
㘥	以伊尤平
㘨	泥・添入
㘰	章伊侵平
㘱	透・談平
㘲	見威東入
㘻	影伊真平
㙀	來依尤去
㙁	明威東入
㙄	並・齊上
㙇	徹逶冬入
㙊	澄漪陽平
㙏	滂威東入
㙙	來威冬上
㙠	影・齊平
㙠	影・齊去
㙡	精威冬平
㙤	曉娃麻去
㙨	羣依微平
㙩	來・蕭平
㙩	來伊宵去
㙪	影・齊去
㙪	影漪脂去
㙱	匣・豪去
㙲	影威冬去
㙴	昌伊鹽去
㙷	澄漪鹽入
㙷	澄漪侵入
㙻	澄漪先平
㚀	曉漪支平
㚁	谿漪宵去
㚂	泥・唐去
㚃	影威文平
㚅	來威東平
㚆	並威東入
㚇	精・東平
㚇	精・東去
㚊	谿・咍平
㚋	端・蕭平
㚍	谿區咍上
㚒	書伊清入
㚒	書伊鹽上
㚔	匣娃耕上
㚔	孃漪鹽入
㚖	見・豪上
㚖	昌伊清入
㚗	從伊麻平
㚘	並・寒上
㚛	曉・齊去
㚛	曉・仙入
㚜	云逶蒸入
㚠	曉・蕭平
㚠	谿伊宵平
㚢	泥・模平
㚤	以伊蒸入
㚫	心・覃入
㚲	昌伊鹽平
㚲	昌伊鹽入
㚷	孃娃佳上
㛁	滂娃耕平
㛂	疑區歌上
㛂	泥區歌上
㛄	影依微平
㛅	日伊之去
㛆	端區歌去
㛍	曉・添入
㛍	曉漪鹽上
㛍	谿・添入
㛐	心・豪上
㛑	清・寒去
㛒	定・侯去
㛗	心區歌平
㛗	清威歌平
㛘	滂區痕入
㛥	透・覃入
㛧	明・談上
㛪	影依嚴去
㛮	心・豪上
㛱	影區咍上
㛳	以伊祭去
㛴	泥・豪上
㛶	透・寒去
㛹	並伊先平
㛼	初娃咸入
㜂	幫威冬平
㜅	曉威東入
㜇	影惟支去
㜊	知漪先上
㜌	谿・侯去
㜎	匣・齊平
㜓	端・覃入
㜗	清・覃平
㜗	清・覃上
㜗	清・覃入
㜘	精伊麻平
㜝	疑・覃上
㜢	來威魚上
㜣	泥・仙去
㜣	日伊先平
㜣	書伊先上
㜤	泥・添上
