韻,小韻,切韻,王韻,廣韻,切韻校,上字擬音,下字擬音,小韻擬音
東,東,德紅,德紅,德紅,徳洪,tʌ̇k,ʁɔūɴ,tɔūɴ
東,同,徒紅,徒紅,徒紅,徒洪,dɔ̄,ʁɔūɴ,dɔūɴ
東,中,陟隆,陟隆,陟弓,陟隆,tʴɯ̇k,lʴūɴ,tʴūɴ
東,蟲,直隆,直隆,直弓,直隆,dʴɯ̇k,lʴūɴ,dʴūɴ
東,終,職隆,職隆,職戎,職隆,cɯ̇k,lʴūɴ,cūɴ
東,忡,初中*,勑中,敕中,初中,ꭧʰɯʌ̄,tʴūɴ,ꭧʰūɴ
東,崇,劔隆*,鋤隆,鋤弓,鋤隆,ꭦɯʌ̄,lʴūɴ,ꭦūɴ
東,嵩,息隆,息隆,息弓,息隆,sɯ̇k,lʴūɴ,sūɴ
東,戎,而隆,如隆,如融,而隆,ɲɯ̄,lʴūɴ,ɲūɴ
東,弓,居隆,居隆,居戎,居隆,kɯʌ̄,lʴūɴ,kūɴ
東,融,餘隆,餘隆,以戎,余隆,ʝɯʌ̄,lʴūɴ,ʝūɴ
東,雄,羽隆,羽隆,羽弓,羽隆,ɦuɔ́,lʴūɴ,ɦūɴ
東,瞢,莫中,莫中,莫中,莫中,mɑ̇q,tʴūɴ,mūɴ
東,穹,去隆,去隆,去宮,去隆,kʰɯʌ́,lʴūɴ,kʰūɴ
東,窮,渠隆,渠隆,渠弓,渠隆,gɯʌ̄,lʴūɴ,gūɴ
東,馮,扶隆,扶隆,房戎,扶隆,buɔ̄,lʴūɴ,būɴ
東,風,方隆,方隆,方戎,方隆,puɑ̄ɴ,lʴūɴ,pūɴ
東,豐,敷隆,敷隆,敷隆,敷隆,pʰuɔ̄,lʴūɴ,pʰūɴ
東,充,處隆,處隆,昌終,處隆,cʰɯʌ́,lʴūɴ,cʰūɴ
東,隆,力中,力中,力中,力中,lʴɯ̇k,tʴūɴ,lʴūɴ
東,空,苦紅,苦紅,苦紅,苦洪,qʰɔ́,ʁɔūɴ,qʰɔūɴ
東,公,古紅,古紅,古紅,古洪,qɔ́,ʁɔūɴ,qɔūɴ
東,蒙,莫紅,莫紅,莫紅,莫洪,mɑ̇q,ʁɔūɴ,mɔūɴ
東,籠,盧紅,盧紅,盧紅,盧洪,lɔ̄,ʁɔūɴ,lɔūɴ
東,洪,胡籠,胡籠,戶公,胡籠,ʁɔ̄,lɔūɴ,ʁɔūɴ
東,叢,徂紅,徂紅,徂紅,徂洪,ʣɔ̄,ʁɔūɴ,ʣɔūɴ
東,翁,烏紅,烏紅,烏紅,烏洪,ʔɔ̄,ʁɔūɴ,ʔɔūɴ
東,忩,倉紅,倉紅,倉紅,倉洪,ʦʰɑ̄ɴ,ʁɔūɴ,ʦʰɔūɴ
東,通,他紅,他紅,他紅,他洪,tʰɑ̄,ʁɔūɴ,tʰɔūɴ
東,葼,子紅,子紅,子紅,子洪,ʦɯ́,ʁɔūɴ,ʦɔūɴ
東,蓬,薄紅,薄紅,薄紅,泊洪,bɑ̇q,ʁɔūɴ,bɔūɴ
東,烘,呼同,呼紅,呼東,呼同,xɔ̄,dɔūɴ,xɔūɴ
東,棇,蘇公,蘇公,蘇公,蘇公,sɔ̄,qɔūɴ,sɔūɴ
東,㟅,五公,／,五東,五公,ɴɔ́,qɔūɴ,ɴɔūɴ
冬,冬,都宗,都宗,都宗,都宗,tɔ̄,ʦɔ̄ɴ,tɔ̄ɴ
冬,彤,徒冬,徒冬,徒冬,徒冬,dɔ̄,tɔ̄ɴ,dɔ̄ɴ
冬,賨,在宗,在宗,藏宗,在宗,ʣʌ́i,ʦɔ̄ɴ,ʣɔ̄ɴ
